dataset,model_num,model_name,case_name,target,n_features,MAE,MAPE_pct,MSE,RMSE,R2,AIC,BIC,residual_skewness,residual_kurtosis,CV_MAE,CV_MAPE_pct,CV_MSE,CV_RMSE,CV_R2,NMAE_pct,NRMSE_pct
rent,1,M1,Caso 1: Base,precio,3,367.972007,26.771981,397108.885063,630.16576,0.106388,5387.474383,5402.928908,2.656949,6.892364,327.104195,27.283731,265291.546748,505.06786,0.068989,30.209494,51.734884
rent,2,M2,Caso 1: Base,log(precio),3,340.23861,22.50681,406246.386859,637.374605,0.085826,230.85545,246.309975,2.664611,6.889391,300.769344,23.091904,268057.115289,506.127644,0.071846,27.932658,52.32671
rent,3,M3,Caso 1b: Base + precio_m2_municipio,precio,4,310.141474,23.582365,262213.088914,512.067465,0.409943,5286.630949,5305.949105,1.888242,5.435429,266.931472,21.774742,201850.55576,439.477802,0.280658,25.461766,42.039337
rent,4,M4,Caso 1b: Base + precio_m2_municipio,log(precio),4,291.503771,20.636238,285695.857684,534.505246,0.3571,117.605909,136.924065,1.386101,6.634515,253.466106,19.43808,205805.901076,443.240133,0.277721,23.931661,43.881417
rent,5,M5,Caso 2: Base + dummy tipologia,precio,4,370.085456,26.921811,393998.536102,627.693027,0.113387,5386.628361,5405.946517,2.60681,6.644334,324.022546,27.030419,263468.285627,502.997457,0.07743,30.383003,51.531879
rent,6,M6,Caso 2: Base + dummy tipologia,log(precio),4,340.765734,22.546257,401763.278311,633.847993,0.095914,228.824977,248.143133,2.635808,6.758161,296.893519,22.797738,265268.408723,502.928349,0.084933,27.975934,52.037185
rent,7,M7,Caso 2b: Caso 2 + precio_m2_municipio,precio,5,307.809743,23.469042,255782.751482,505.749693,0.424413,5285.785316,5308.967103,1.935456,5.369002,265.90807,21.765807,200448.321306,437.722885,0.286128,25.270337,41.520665
rent,8,M8,Caso 2b: Caso 2 + precio_m2_municipio,log(precio),5,289.662242,20.570997,269457.323233,519.092789,0.393641,115.273942,138.455729,1.707603,6.221628,251.258023,19.269508,204059.677401,440.935282,0.285833,23.780477,42.616097
rent,9,M9,Caso 3: Caso 2 + garaje + obra_nueva,precio,6,370.178589,27.010399,392803.140306,626.74009,0.116077,5388.302262,5411.484049,2.599437,6.614128,324.398452,27.026874,265455.198073,504.769381,0.070657,30.390649,51.453645
rent,10,M10,Caso 3: Caso 2 + garaje + obra_nueva,log(precio),6,340.626246,22.606038,400589.671529,632.921537,0.098555,230.222829,253.404616,2.631174,6.741275,297.842746,22.855961,266872.307627,504.461414,0.078066,27.964482,51.961125
rent,11,M11,Caso 3b: Caso 3 + precio_m2_municipio,precio,7,307.856974,23.469206,255870.504826,505.836441,0.424216,5287.782968,5314.828386,1.933278,5.360672,266.546358,21.816405,201706.789526,438.926074,0.282658,25.274215,41.527787
rent,12,M12,Caso 3b: Caso 3 + precio_m2_municipio,log(precio),7,289.54399,20.572931,269047.811602,518.698189,0.394563,117.249742,144.29516,1.717627,6.238476,251.796251,19.297474,205237.898432,442.159346,0.281494,23.770769,42.583701
rent,13,M13,Caso 4: Caso 2 + latitud + longitud,precio,6,359.096945,25.9111,357706.374725,598.085591,0.195055,5364.932127,5391.977545,2.461296,6.041294,310.855342,25.873091,246860.109178,489.040103,0.115071,29.480876,49.10119
rent,14,M14,Caso 4: Caso 2 + latitud + longitud,log(precio),6,332.168801,21.810908,369542.477959,607.900056,0.16842,198.56724,225.612658,2.557096,6.453578,282.655943,21.596893,247366.288696,487.791976,0.130919,27.270149,49.90693
rent,15,M15,Caso 4b: Caso 4 + precio_m2_municipio,precio,7,306.188277,23.032609,253774.101494,503.759964,0.428933,5285.777907,5316.686956,1.904167,5.206288,264.29118,21.554742,198594.446866,436.096121,0.2902,25.137219,41.357314
rent,16,M16,Caso 4b: Caso 4 + precio_m2_municipio,log(precio),7,291.960732,20.478826,271552.181511,521.106689,0.388927,108.216314,139.125363,1.577766,6.136113,245.029548,18.635542,200971.739766,438.115399,0.294406,23.969177,42.781432
rent,17,M17,Caso 5: Caso 2 + distancias minimas,precio,7,360.86838,25.574751,375143.456573,612.489556,0.155816,5375.665946,5406.574996,2.564165,6.383609,317.095405,26.337574,252839.760244,493.134464,0.112453,29.626306,50.283716
rent,18,M18,Caso 5: Caso 2 + distancias minimas,log(precio),7,337.49558,22.008253,386309.953767,621.538377,0.130688,208.117549,239.026598,2.606953,6.606436,285.089812,21.691499,252230.12565,490.522389,0.129367,27.707463,51.026599
rent,19,M19,Caso 5b: Caso 5 + precio_m2_municipio,precio,8,309.967762,23.450808,260421.576694,510.315174,0.413975,5283.600595,5318.373275,1.952687,5.342967,267.564337,21.993292,198486.42551,436.39914,0.287981,25.447505,41.895479
rent,20,M20,Caso 5b: Caso 5 + precio_m2_municipio,log(precio),8,294.400903,20.413519,278157.281904,527.406183,0.374064,104.508641,139.281322,1.784237,6.226596,245.987774,18.74365,199285.149718,436.311983,0.300197,24.169508,43.298604
rent,21,M21,Caso 6: Todas las variables,precio,11,357.12737,25.663001,351345.007909,592.743627,0.20937,5369.671147,5412.17109,2.442928,5.889409,311.205682,25.863196,248593.914773,490.514613,0.111027,29.319179,48.662629
rent,22,M22,Caso 6: Todas las variables,log(precio),11,331.493956,21.719866,365862.070155,604.865332,0.176702,201.816725,244.316668,2.533876,6.319772,282.670153,21.573968,248107.79933,488.167278,0.130148,27.214746,49.657788
rent,23,M23,Caso 6b: Todas las variables + precio_m2_municipio,precio,12,312.269693,23.688254,262616.372336,512.461093,0.409036,5288.699684,5335.063258,1.915772,5.228938,268.324597,22.072811,199206.299123,436.911271,0.287671,25.636487,42.071653
rent,24,M24,Caso 6b: Todas las variables + precio_m2_municipio,log(precio),12,297.29458,20.624362,280510.970609,529.632864,0.368767,108.472504,154.836078,1.721613,6.134182,245.340539,18.715087,198798.499656,435.315738,0.305023,24.407071,43.481408
