variable,coef,std_error,t_value,p_value
const,272503.396355,4825.762336,56.468466,0.0
superficie_construida_m2,50654.535893,7764.787504,6.523622,0.0
numero_dormitorios,7299.760722,7314.584007,0.997973,0.318859
numero_banos,62964.718601,7075.541226,8.898926,0.0
dummy_tipologia_unifamiliar,7612.953861,7783.330138,0.97811,0.328575
tiene_garaje_bin,20672.328716,5422.540944,3.812296,0.000158
obra_nueva_bin,-18410.235212,5333.496185,-3.451814,0.000612
latitud,6603.119101,8123.478342,0.812844,0.416762
longitud,-5692.647698,7782.538972,-0.731464,0.464898
distancia_min_playa_km,-5735.31016,8947.706926,-0.640981,0.52188
distancia_min_supermercado_km,-1936.971902,6601.44099,-0.293417,0.769347
distancia_min_colegio_km,-12083.437781,6111.424775,-1.977188,0.048665
precio_m2_municipio,48963.01843,6819.603263,7.179746,0.0
